port,country,phone,email,website
"Skinners Cove  Harbour, Canada",Canada,n/a,hasc@live.ca,n/a
"Three Rock Cove, Canada",Canada,+1 709 642 5011 ,h_rouzes@hotmail.com,n/a
"Black River  Harbour, Canada",Canada,+1 506 696 2600 ,n/a,n/a
"Little River (Victoria County), Canada",Canada,n/a,n/a,n/a
"Souris Harbor, Canada",Canada,n/a,n/a,n/a
"Owls Head Harbour, Canada",Canada,n/a,n/a,n/a
"Wild Cove Harbour, Canada",Canada,n/a,n/a,n/a
"Pinkneys Point Harbour, Canada",Canada,+1 506 742 1110 ,n/a,n/a
"Skinner's Pond, Canada",Canada,n/a,n/a,n/a
"New Mills Harbour, Canada",Canada,n/a,n/a,n/a
"Lord's Cove Harbour, Canada",Canada,+1 709 857 2304 ,n/a,n/a
"Ship Harbour, Canada",Canada,+1 709 227 7636 ,n/a,n/a
"Isle aux Morts Harbour, Canada",Canada,+1 709 698 3395 ,n/a,n/a
"Matheson Island Landing, Canada",Canada,+1 204 276 2260 ,n/a,n/a
"Musgrave (Saltspring Is.), Canada",Canada,+1 250 537 5711 ,ssha@saltspring.com,n/a
"Baie-Trinite, Canada",Canada,+1 418 939 2231 ,lorrainb@globetrotter.net,n/a
"Twillingate (Shoal Tickle) Harbour, Canada",Canada,+1 709 884 1122 ,hatwillingate@nf.aibn.com,n/a
"Fox Island River Harbour, Canada",Canada,+1 709 648 9374 ,gus_hynes@hotmail.com,n/a
"Middle Arm Harbour, Canada",Canada,+1 709 252 2815 ,n/a,n/a
"Murray River, Canada",Canada,n/a,n/a,n/a
"Zeballos Harbour, Canada",Canada,+1 250 761 4238 ,n/a,n/a
"Newellton Harbour, Canada",Canada,+1 902 745 3252 ,n/a,n/a
"Cape Young, Canada",Canada,n/a,n/a,n/a
"Ming's Bight Harbour, Canada",Canada,+1 709 254 7211 ,n/a,n/a
"Riverton Harbour, Canada",Canada,n/a,n/a,n/a
"English Harbour East Harbour, Canada",Canada,+1 709 245 2130 ,glensimpson@live.ca,n/a
"Quathiaski Cove Harbour, Canada",Canada,+1 250 285 3622 ,qiha@island.net,n/a
"Red Head Harbour, Canada",Canada,+1 902 961 3483 ,n/a,n/a
"Cape Tormentine Harbour, Canada",Canada,+1 506 538 9979 ,n/a,n/a
"Point Crewe Harbour, Canada",Canada,+1 709 857 2230 ,maureenfleming1@gmail.com,n/a
"Barr'd Harbour, Canada",Canada,+1 709 847 4122 ,n/a,n/a
"Plate Cove West Harbour, Canada",Canada,+1 709 545 2122 ,PlateCoveWestHA@hotmail.com,n/a
"Gore Bay, Canada",Canada,n/a,n/a,n/a
"Rushbrook Harbour, Canada",Canada,+1 250 624 9400 ,peharbour@citytel.net,http://www.peharbour.ca/
"Grady Harbor, Canada",Canada,n/a,n/a,n/a
"Okeover Inlet, Canada",Canada,+1 604 483 3258 ,okeover@prcn.org,n/a
"Hickman's Harbour, Canada",Canada,+1 709 547 2251 ,n/a,n/a
"Duntara Harbour, Canada",Canada,+1 709 447 4561 ,n/a,n/a
"Brigus South Harbour, Canada",Canada,+1 709 432 2643 ,n/a,n/a
"Howard's Cove, Canada",Canada,n/a,n/a,n/a
"St. David's (Crabbe's River) Harbour, Canada",Canada,+1 709 645 2314 ,n/a,n/a
"Port of Chicoutimi, Canada",Canada,+1 418 5430263 ,n/a,n/a
"Smith's Harbour, Canada",Canada,+1 709 252 2132 ,tud_zelda@hotmail.com,n/a
"Whale Cove, Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Wiarton Harbor, Canada",Canada,n/a,n/a,n/a
"Petit-Rocher Harbour, Canada",Canada,+1 506 542 2686 ,n/a,n/a
"Higgins Shore, Canada",Canada,n/a,n/a,n/a
"Little Liscomb Harbour, Canada",Canada,n/a,n/a,n/a
"Byng Inlet, Canada",Canada,n/a,n/a,n/a
"Kegaska-Quai Debarcadere, Canada",Canada,+1 418 726 3523 ,jnevans@globetrotter.net,n/a
"West Green Harbour, Canada",Canada,+1 902 656 2018 ,n/a,n/a
"Jackson's Cove Harbour, Canada",Canada,+1 709 6245268 ,n/a,n/a
" Miscou Harbour, Canada",Canada,+1 506 336 7063 ,n/a,n/a
"Red Head Cove Harbour, Canada",Canada,+1 709 587 2072 ,n/a,n/a
"Whiskey Jack Portage(Kiskittogisu Lake), Canada",Canada,n/a,n/a,n/a
"Southport, Canada",Canada,+1 709 548 2249 ,n/a,n/a
"Point Aconi Harbour, Canada",Canada,n/a,n/a,n/a
"Little Bras D Or, Canada",Canada,n/a,n/a,n/a
"Anchor Point Harbour, Canada",Canada,+1 709  456 2634 ,n/a,n/a
"Whale Cove Harbour, Canada",Canada,+1 902 834 2777 ,n/a,n/a
"Paspébiac Harbour, Canada",Canada,+1 418 534 2596 ,aspirhen@globetrotter.net,n/a
"Baine Harbour, Canada",Canada,+1 709  443 2613 ,n/a,n/a
"Port La Tour Harbour, Canada",Canada,n/a,haofpl@ns.sympatico.ca,n/a
"Fortune Harbour, Canada",Canada, +1 709 832 1650 ,george.hillier@hotmail.com,n/a
"  Les Aboiteaux Harbour(Dupuis Corner), Canada",Canada,+1  506 577 6262 ,n/a,n/a
"Judique (Baxter's) Harbour, Canada",Canada,+1 902 787 2031 ,judiquebaxtersharbourauthority@hotmail.com,n/a
"Port of Saguenay, Canada",Canada,+1 418 697 0250 ,info@portsaguenay.ca,http://www.portsaguenay.ca/
"Manitowaning Harbor, Canada",Canada,n/a,n/a,n/a
"Highlands (Eel Hole), Canada",Canada,+1 709 645 2314 ,n/a,n/a
"Burgoyne Bay Harbour, Canada",Canada,+1 250 537 5711 ,ssha@saltspring.com,n/a
"White Point Harbour, Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Stoney Island Harbour, Canada",Canada,n/a,n/a,n/a
"Grande-VaLLée (Riviere), Canada",Canada,+1 418 393 2524 ,n/a,n/a
"Tofino (Wingen Lane), Canada",Canada,+1 250 725 4441 ,tofhar@island.net,n/a
"Chute A Blondeau, Canada",Canada,n/a,n/a,n/a
"Campbell River Harbour, Canada",Canada,+1 250 287 7931 ,fishermans@telus.net,n/a
"Port of Cornwall, Canada",Canada,n/a,n/a,n/a
"Porpoise Bay, Canada",Canada,+1 604 885 1986 ,bhaynes@district.sechelt.bc.ca,n/a
"Little Current, Canada",Canada,info@portoflittlecurrent ,n/a,http://www.portoflittlecurrent.com/Port_of_Little_Current/The_Port.html
"Portugal Cove South Harbour, Canada",Canada,n/a,n/a,n/a
"Port de Grave, Canada",Canada,+1 709 786 8560 ,hapdg@persona.ca,n/a
"Fox Roost Harbour, Canada",Canada,+1 709 698 3066 ,n/a,n/a
"Kitamaat Village Harbour, Canada",Canada,+1 250 632 3819 ,haislafc@telus.net,n/a
"Jones Harbour, Canada",Canada,n/a,n/a,n/a
"Torbay Harbour, Canada",Canada,+1 709 437 6066 ,etapper@nf.sympatico.ca,n/a
"Petite-Vallée, Canada",Canada,+1 418 393 2949 ,n/a,n/a
"Tilting Harbour, Canada",Canada,+1 709 266 1090 ,hafogoisland@nf.aibn.com,n/a
"Hopeall Harbour, Canada",Canada,+1 709 582 2830 ,geoff@woodmanseaproducts.com,n/a
"Harbour le Cou, Canada",Canada,+1 709 956 2423 ,n/a,n/a
"L'Anse-au-Clair Harbour, Canada",Canada,+1 709 931 2202 ,n/a,n/a
"Georgetown Harbour -Fishermen's Wharf, Canada",Canada,n/a,n/a,n/a
"Saulte Ste Marie Harbor, Canada",Canada,n/a,n/a,n/a
"Fraser River Port, Canada",Canada,+1 604 6659000  ,info@portmetrovancouver.com,http://www.portmetrovancouver.com/
"Vancouver (False Creek) Harbour, Canada",Canada,+1 604 733 3625 ,info@falsecreek.com,http://www.falsecreek.com/
"Reef's Harbour, Canada",Canada,+1 709 847 6301 ,joztucker@hotmail.com,n/a
"Killarney, Canada",Canada,n/a,n/a,n/a
"Port-Daniel-Est (A Bona), Canada",Canada,+1 418 396 3184 ,robertsullivan63@hotmail.com,n/a
"Jerseyside Harbour, Canada",Canada,+1  709 227 7240 ,haplacentia@nf.aibn.com,n/a
"Moose Harbour, Canada",Canada,n/a,n/a,n/a
"Mansons Landing Harbour, Canada",Canada,+1 250 935 6545 ,ravenso@oberon.ark.com,n/a
"Southern Harbour, Canada",Canada,+1 709 463 0555 ,n/a,n/a
"Cape St. George (Rouzes Brook) Harbour, Canada",Canada,+1 709 644 2836 ,harbourauthoritycapestgeorge@nf.sympatico.ca,http://www3.nf.sympatico.ca/benwah/hacapestgeorge.htm
"Margaree Harbour, Canada",Canada,+1 709 698 3066 ,n/a,n/a
"New Bonaventures Harbour, Canada",Canada,+1 709 464 3730 ,n/a,n/a
"Hibbs Cove Harbour, Canada",Canada,+1 709 786 8560 ,hapdg@persona.ca,n/a
"Blue Cove Harbour, Canada",Canada,+1 709 247 2308 ,n/a,n/a
"Port Credit, Canada",Canada,n/a,n/a,n/a
"Newport, Canada",Canada,+1 418 777 2352 ,legresleyl@globetrotter.net,n/a
"Lower Jordan Bay Harbour, Canada",Canada,n/a,n/a,n/a
"Iles-D'entree (L'ile-D'entree), Canada",Canada,+1 418 986 6359 ,n/a,n/a
"Stonehaven Harbour, Canada",Canada,n/a,n/a,n/a
"Summerville Harbour, Canada",Canada,+1 709 462 3494 ,n/a,n/a
"Cripple Creek Harbour, Canada",Canada,+1 902 637 3373 ,sea.scape@ns.sympatico.ca,n/a
"Tangier Harbor, Canada",Canada,n/a,n/a,n/a
"Ship Cove (St.George's Bay), Canada",Canada,+1 709 644 2308 ,n/a,n/a
"La Baie Harbor, Canada",Canada,n/a,n/a,n/a
"Mingan Harbour, Canada",Canada,+1 418 949 2436 ,apmingan@globetrotter.net,n/a
"Lyall Harbour, Canada",Canada,n/a,n/a,n/a
"Port au Choix, Canada",Canada,+1 709 861 3087 ,kokeefe@nf.aibn.com,n/a
"Herring Neck Harbour, Canada",Canada,+1 709  628 7485 ,smuttk@hotmail.com,n/a
"Happy Adventure Harbour, Canada",Canada, +1 709 677 3131 ,n/a,n/a
"Terrington Basin, Canada",Canada,n/a,n/a,n/a
"Welland, Canada",Canada,+1 905 6411932 ,mlo@seaway.ca,http://www.seaway.ca/
"Ford Harbor, Canada",Canada,n/a,n/a,n/a
"Port Coquitlam, Canada",Canada,n/a,n/a,n/a
"Back Bay, Canada",Canada,n/a,n/a,n/a
"La Scie Harbour, Canada",Canada,+1 709 6752667 ,halascie@nf.aibn.com,http://www.dfo-mpo.gc.ca/
"Blanc Sablon -Grand Quai Des Pecheurs, Canada",Canada,+1 418 461 2479 ,rilleylavallee@gmail.com,n/a
"Port Dover (Commercial Fishing Facility), Canada",Canada,+1 519 583 2150 ,n/a,n/a
"Charlottetown Harbour, Canada",Canada,+1 902 5667974 ,n/a,n/a
"Point au Gaul Harbour, Canada",Canada,+1 709 857 2832 ,n/a,n/a
"Nanoose Harbor, Canada",Canada,n/a,n/a,n/a
"Catalina Harbour, Canada",Canada,+1 709 4692441 ,n/a,n/a
"Camp Cove Harbour (Lower Argyle), Canada",Canada,+1 902 643 2425 ,n/a,n/a
"Dildo Harbour, Canada",Canada,+1 709 582 1121 ,theresa.reid@hotmail.com,n/a
"Esquimalt Harbor, Canada",Canada,n/a,n/a,n/a
"Scots Bay (Little Cove) Harbour, Canada",Canada,n/a,f.huntley@ns.sympatico.ca,n/a
"Steveston Harbour (Gulf of Georgia), Canada",Canada,+1 604 2725539 ,info@stevestonharbour.com,http://www.stevestonharbour.com/
"Fulford Harbour, Canada",Canada,+1 250 537 5711 ,ssha@saltspring.com,n/a
"Garden Cove Harbour, Canada",Canada,+1 709 549 2140 ,n/a,n/a
"Seeleys Cove Harbour, Canada",Canada,+1 506 755 2100 ,n/a,n/a
"Westport (Irishtown), Canada",Canada,n/a,n/a,n/a
"Garnish Harbour, Canada",Canada,+1 709 826 2456 ,n/a,n/a
"Cook's Harbour, Canada",Canada,+1 709 249 5536 ,n/a,n/a
"Gunning Cove Harbour, Canada",Canada,+1 902 875 1113 ,haofgc@ns.sympatico.ca,n/a
"Le Goulet Harbour, Canada",Canada,+1 506 336 8611 ,n/a,n/a
"Bronte Harbor, Canada",Canada,n/a,n/a,n/a
"East Chezzetcook Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Carbonear, Canada",Canada,+1 709 5961410 ,n/a,n/a
"Liscomb Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Becancour, Canada",Canada,+1 819 2946656 ,spipb@spipb.com,http://www.spipb.com/
"Portugal Cove Harbour, Canada",Canada,+1 709 728 5222 ,n/a,n/a
" Gammons  Creek (John Voglers Shore) , Canada",Canada,n/a,n/a,n/a
"Savage Harbour , Canada",Canada,n/a,n/a,n/a
"Goldsboro, Canada",Canada,n/a,n/a,n/a
"Big Brook Harbour, Canada",Canada,+1 709 249 5536 ,n/a,n/a
"Contrecoeur Harbor, Canada",Canada,n/a,n/a,n/a
"Port Harvey, Canada",Canada,n/a,n/a,n/a
"West Berlin Harbour, Canada",Canada,+1 902 354 4745 ,n/a,n/a
"West Point Harbour , Canada",Canada,+1 902 856 0035 ,n/a,n/a
"Saint-Édouard-De-Kent, Canada",Canada,n/a,n/a,n/a
"Launching Pond , Canada",Canada,n/a,n/a,n/a
"Owen Sound Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Valleyfield, Canada",Canada,+1 450 3776686 ,info@valport.ca,http://www.valport.ca/
"St. Lawrence Harbour, Canada",Canada,+1 709 873 3378 ,hastlawrence@nf.aibn.com,n/a
"Eddies Cove East Harbour, Canada",Canada,+1 709  475 6121 ,n/a,n/a
"Clarenville, Canada",Canada,n/a,n/a,n/a
"Little Dover Harbour, Canada",Canada,+1 902 366 2434 ,n/a,n/a
"Sandspit Landing, Canada",Canada,n/a,n/a,n/a
"Bonavista Harbour, Canada",Canada,+1 709  468 1209 ,jermouland@hotmail.com,n/a
"St. Martins Harbour, Canada",Canada,+1 506 833 4768 ,n/a,n/a
"Anse De Miquelon Harbour, Canada",Canada,n/a,n/a,n/a
"Barrington Passage, Canada",Canada,n/a,n/a,n/a
"St Zotique, Canada",Canada,n/a,n/a,n/a
"Sheguiandah, Canada",Canada,n/a,n/a,n/a
"Ford Cove Harbour, Canada",Canada,+1 250 335 2141 ,ebus129@island.net,n/a
"Petit Forte Harbour, Canada",Canada,+1 709 428 3139 ,n/a,n/a
"Woodfibre Harbor, Canada",Canada,n/a,n/a,n/a
"St. Bride's Harbour, Canada",Canada,+1 709 337 2388 ,hilda@nf.sympatico.ca,n/a
"Port Stanley, Canada",Canada,n/a,n/a,n/a
"Cobourg Harbour, Canada",Canada,n/a,n/a,n/a
"Finlay Point Harbour, Canada",Canada,+1 902 945 2860 ,haoffp@hotmail.com,n/a
"Pond Inlet, Canada",Canada,n/a,n/a,n/a
"Brig Bay  Harbour, Canada",Canada,+1 709 247 2000 ,n/a,n/a
"L'Anse au Loup Harbour, Canada",Canada,+1 709 9275573 ,lanseauloup@nf.aibn.com,http://www.lanseauloup.ca/
"Tickle Cove Harbour, Canada",Canada,+1 709 545 2267 ,n/a,n/a
"Whaler Bay, Canada",Canada,+1 250 539 5420 ,n/a,n/a
"Channel (Port aux Basques) Harbour, Canada",Canada,+1 709 695 7975 ,haportauxbasques@nf.aibn.com,n/a
"North Sydney Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Powell River South, Canada",Canada, +1 604 485 5244 ,n/a,n/a
"Sandy Cove (Strait of Belle Isle), Canada",Canada,+1 709 456 2295 ,n/a,n/a
"Gooseberry Cove Harbour, Canada",Canada,+1 709 548 2336 ,n/a,n/a
"Sheet Harbour, Canada",Canada,n/a,n/a,n/a
"Richards Landing, Canada",Canada,n/a,n/a,n/a
"Bailey's Brook Harbour (lLismore), Canada",Canada,n/a,n/a,n/a
"Port of Cambridge Bay, Canada",Canada,+1 983 4652 ,mlivingston@cambridgebay.ca,http://www.cambridgebay.ca/
"Sally's Cove Harbour, Canada",Canada,n/a,n/a,n/a
"Upper Island Cove, Canada",Canada,+1 709 589 2949 ,n/a,n/a
"Porpoise Harbor, Canada",Canada,n/a,n/a,n/a
"Northport Harbour, Canada",Canada, +1 902 694 2352 ,hanorthport@live.ca,n/a
"French River, Canada",Canada,n/a,n/a,n/a
"Skidegate Landing, Canada",Canada,n/a,n/a,n/a
"Sidney Harbour, Canada",Canada,+1 250 6561139 ,n/a,n/a
"Salvage Harbour, Canada",Canada,+1 709 677 2555 ,wmbrown@xplornet.com,n/a
"Port of St Catherine, Canada",Canada,+1 905 6411932 ,mlo@seaway.ca,http://www.seaway.ca/en/
"Newcastle Harbor, Canada",Canada,n/a,n/a,n/a
"Cap Pele Harbour, Canada",Canada,+1 506 531 7771 ,n/a,n/a
"Oakville Harbor, Canada",Canada,n/a,n/a,n/a
"Jude's Point, Canada",Canada,n/a,n/a,n/a
"Baie Moutons Harbour, Canada",Canada,+1 418 773 2485 ,garrybuffitt@globetrotter.net,n/a
"Moncton, Canada",Canada,n/a,n/a,n/a
"Straitsview (Spillars Cove) Harbour, Canada",Canada,+1 709 623 2151 ,n/a,n/a
"Beaver Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Pictou, Canada",Canada,+1 902 4859280 ,straitline@truroreload.com,http://www.pictoumarineterminals.com/
"St. Lunaire Harbour, Canada",Canada, +1 709 623 2072 ,mary.bussey@hotmail.com,n/a
"Prince Rupert Port, Canada",Canada,+1 250 6278899 ,pcorp@rupertport.com,http://www.rupertport.com/
"Cortes Bay Harbour, Canada",Canada, +1 250 935 6545 ,ravenso@oberon.ark.com,n/a
"Brooklyn Harbour, Canada",Canada,n/a,n/a,n/a
"Ingonish (Macleods Point) Harbour, Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
